Location ID;Day;Time before cleaning;Note before cleaning;Time after cleaning;Note after cleaning
RFDO_1;28-May;00:13;;00:21;
RFDO_1;28-May;06:33;;06:42;
RFDO_1;28-May;12:08;;12:19;
RFDO_1;28-May;18:17;;18:28;
RFDO_1;29-May;00:15;;00:23;
RFDO_1;29-May;06:24;;06:34;
RFDO_1;29-May;12:07;;12:19;
RFDO_1;29-May;18:14;;18:23;
RFDO_1;30-May;00:16;;00:24;
RFDO_1;30-May;06:33;;06:43;
RFDO_1;30-May;12:06;;12:15;
RFDO_1;30-May;18:56;;19:03;
RFDO_1;31-May;00:15;;00:24;
RFDO_1;31-May;06:31;;06:40;
RFDO_1;31-May;12:23;;12:28;
RFDO_1;31-May;17:54;;18:01;
RFDO_1;01-Jun;00:15;;00:23;
RFDO_1;01-Jun;06:31;;06:40;
RFDO_1;01-Jun;12:07;reference for heatmap;12:14;
RFDO_1;12-Jun;;Not measured, as we just put the net in;11:50;
RFDO_1;12-Jun;18:19;;18:33;
RFDO_1;12-Jun;23:59;;00:03;
RFDO_1;13-Jun;06:18;Holes on the bottom right side;06:24;
RFDO_1;13-Jun;12:12;Holes stiched;12:52;
RFDO_1;13-Jun;18:50;Multiple holes under;18:59;
RFDO_1;14-Jun;00:28;;00:31;
RFDO_1;14-Jun;06:26;;06:31;
RFDO_1;14-Jun;;;;
RFDO_1;14-Jun;12:13;;12:16;
RFDO_1;14-Jun;18:46;;18:55;
RFDO_1;15-Jun;00:16;;00:21;
RFDO_1;15-Jun;06:33;;06:39;
RFDO_1;15-Jun;12:35;;12:39;
RFDO_1;15-Jun;18:26;"Removed net for repairs: hand sized hole at bottom and left side; mat was partially moved away under net, fixed";;
RFDO_1;16-Jun;;;00:26;just installed
RFDO_1;16-Jun;06:24;;06:28;
RFDO_1;16-Jun;12:06;;12:10;
RFDO_1;16-Jun;19:06;;19:19;
