dataset;block;total_insects;sampled;false_positive
250528_post;2025-05-28_18h-24h;4135;400;118
250528_post;2025-05-29_00h-06h;8290;400;140
250528_post;2025-05-29_06h-12h;7361;400;204
250528_post;2025-05-29_12h-18h;9068;400;218
250528_post;2025-05-29_18h-24h;6901;400;221
250528_post;2025-05-30_00h-06h;8314;400;116
250528_post;2025-05-30_06h-12h;5934;400;142
250528_post;2025-05-30_12h-18h;4835;400;177
250528_post;2025-05-30_18h-24h;9887;400;231
250528_post;2025-05-31_00h-06h;9014;400;170
250528_post;2025-05-31_06h-12h;5682;400;220
250528_post;2025-05-31_12h-18h;6127;400;181
250528_post;2025-05-31_18h-24h;10455;400;251
250528_post;2025-06-01_00h-06h;10343;400;170
250528_post;2025-06-01_06h-12h;6816;400;238
250528_post;2025-06-01_12h-18h;2848;400;179
250528_post;2025-06-01_18h-24h;1876;400;178
250528_post;2025-06-02_00h-06h;1861;400;166
250528_post;2025-06-02_06h-12h;1325;400;155
250528_post;2025-06-02_12h-18h;5619;400;261
