dataset;block;total_insects;sampled;false_positive
250529_post;2025-05-28_18h-24h;7;7;7
250529_post;2025-05-29_00h-06h;4908;400;100
250529_post;2025-05-29_06h-12h;5306;400;178
250529_post;2025-05-29_12h-18h;3997;400;203
250529_post;2025-05-29_18h-24h;4074;400;213
250529_post;2025-05-30_00h-06h;6742;400;102
250529_post;2025-05-30_06h-12h;4103;400;190
250529_post;2025-05-30_12h-18h;5468;400;200
250529_post;2025-05-30_18h-24h;8521;400;274
250529_post;2025-05-31_00h-06h;7623;400;150
250529_post;2025-05-31_06h-12h;4630;400;183
250529_post;2025-05-31_12h-18h;6186;400;195
250529_post;2025-05-31_18h-24h;9568;400;368
250529_post;2025-06-01_00h-06h;9258;400;89
250529_post;2025-06-01_06h-12h;6283;400;170
250529_post;2025-06-01_12h-18h;3528;400;166
250529_post;2025-06-01_18h-24h;2993;400;171
250529_post;2025-06-02_00h-06h;2661;400;165
250529_post;2025-06-02_06h-12h;1903;400;160
250529_post;2025-06-02_12h-18h;27536;400;360
250529_post;2025-06-02_18h-24h;13036;400;359
250529_post;2025-06-03_00h-06h;32683;400;372
250529_post;2025-06-03_06h-12h;37689;400;374
250529_post;2025-06-03_12h-18h;29997;400;380
