dataset,block,total_insects,sampled,false_positive
250609_RFUP1,2025-06-09_06h-12h,104,104,104
250609_RFUP1,2025-06-09_12h-18h,12974,400,362
250609_RFUP1,2025-06-09_18h-24h,7266,400,343
250609_RFUP1,2025-06-10_00h-06h,8193,400,328
250609_RFUP1,2025-06-10_06h-12h,4592,400,319
250609_RFUP1,2025-06-10_12h-18h,9008,400,355
250609_RFUP1,2025-06-10_18h-24h,2875,400,255
250609_RFUP1,2025-06-11_00h-06h,3007,400,227
250609_RFUP1,2025-06-11_06h-12h,10075,400,300
250609_RFUP1,2025-06-11_12h-18h,6625,400,313
250609_RFUP1,2025-06-11_18h-24h,4248,400,268
250609_RFUP1,2025-06-12_00h-06h,5000,400,283
250609_RFUP1,2025-06-12_06h-12h,9915,400,346
250609_RFUP1,2025-06-12_12h-18h,453,400,325
250609_RFUP1,2025-06-12_18h-24h,20265,400,284
250609_RFUP1,2025-06-13_00h-06h,31870,400,187
250609_RFUP1,2025-06-13_06h-12h,18426,400,190
250609_RFUP1,2025-06-13_12h-18h,60326,400,342
250609_RFUP1,2025-06-13_18h-24h,19481,400,180
250609_RFUP1,2025-06-14_00h-06h,21199,400,191
250609_RFUP1,2025-06-14_06h-12h,31410,400,232
250609_RFUP1,2025-06-14_12h-18h,9879,400,340
250609_RFUP1,2025-06-14_18h-24h,7432,400,238
250609_RFUP1,2025-06-15_00h-06h,6697,400,137
250609_RFUP1,2025-06-15_06h-12h,3465,400,210
250609_RFUP1,2025-06-15_12h-18h,898,400,297
