dataset,block,total_insects,sampled,false_positive
250609_post,2025-06-09_12h-18h,3283,400,385
250609_post,2025-06-09_18h-24h,610,400,317
250609_post,2025-06-10_00h-06h,810,400,183
250609_post,2025-06-10_06h-12h,92,92,92
250609_post,2025-06-10_12h-18h,291,291,152
250609_post,2025-06-10_18h-24h,9,9,2
250609_post,2025-06-11_00h-06h,11,11,0
250609_post,2025-06-11_06h-12h,61,61,33
250609_post,2025-06-11_12h-18h,737,400,230
250609_post,2025-06-11_18h-24h,311,311,261
250609_post,2025-06-12_00h-06h,110,110,70
250609_post,2025-06-12_06h-12h,911,400,356
250609_post,2025-06-12_12h-18h,541,400,256
250609_post,2025-06-12_18h-24h,121996,400,364
250609_post,2025-06-13_00h-06h,144842,400,375
250609_post,2025-06-13_06h-12h,42790,400,355
250609_post,2025-06-13_12h-18h,22979,400,347
250609_post,2025-06-13_18h-24h,50972,400,370
250609_post,2025-06-14_00h-06h,64973,400,345
250609_post,2025-06-14_06h-12h,32838,400,360
250609_post,2025-06-14_12h-18h,40374,400,371
250609_post,2025-06-14_18h-24h,320208,400,386
250609_post,2025-06-15_00h-06h,91953,400,385
250609_post,2025-06-15_06h-12h,10892,400,371
250609_post,2025-06-15_12h-18h,965,400,315
