bin_start,raw_count,bin_end,tp_rate,fp_rate,est_true,tag,station,position,period,status
2025-06-09 11:30:00,104,2025-06-09 12:00:00,0.0,1.0,0,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 12:00:00,662,2025-06-09 12:30:00,0.09499999999999997,0.905,63,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 12:30:00,570,2025-06-09 13:00:00,0.09499999999999997,0.905,54,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 13:00:00,416,2025-06-09 13:30:00,0.09499999999999997,0.905,40,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 13:30:00,1217,2025-06-09 14:00:00,0.09499999999999997,0.905,116,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 14:00:00,2341,2025-06-09 14:30:00,0.09499999999999997,0.905,222,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 14:30:00,714,2025-06-09 15:00:00,0.09499999999999997,0.905,68,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 15:00:00,621,2025-06-09 15:30:00,0.09499999999999997,0.905,59,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 15:30:00,1018,2025-06-09 16:00:00,0.09499999999999997,0.905,97,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 16:00:00,747,2025-06-09 16:30:00,0.09499999999999997,0.905,71,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 16:30:00,771,2025-06-09 17:00:00,0.09499999999999997,0.905,73,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 17:00:00,1561,2025-06-09 17:30:00,0.09499999999999997,0.905,148,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 17:30:00,2336,2025-06-09 18:00:00,0.09499999999999997,0.905,222,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 18:00:00,1339,2025-06-09 18:30:00,0.14249999999999996,0.8575,191,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 18:30:00,973,2025-06-09 19:00:00,0.14249999999999996,0.8575,139,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 19:00:00,771,2025-06-09 19:30:00,0.14249999999999996,0.8575,110,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 19:30:00,812,2025-06-09 20:00:00,0.14249999999999996,0.8575,116,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 20:00:00,686,2025-06-09 20:30:00,0.14249999999999996,0.8575,98,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 20:30:00,457,2025-06-09 21:00:00,0.14249999999999996,0.8575,65,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 21:00:00,453,2025-06-09 21:30:00,0.14249999999999996,0.8575,65,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 21:30:00,403,2025-06-09 22:00:00,0.14249999999999996,0.8575,57,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 22:00:00,381,2025-06-09 22:30:00,0.14249999999999996,0.8575,54,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 22:30:00,347,2025-06-09 23:00:00,0.14249999999999996,0.8575,49,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 23:00:00,299,2025-06-09 23:30:00,0.14249999999999996,0.8575,43,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-09 23:30:00,345,2025-06-10 00:00:00,0.14249999999999996,0.8575,49,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 00:00:00,425,2025-06-10 00:30:00,0.18000000000000005,0.82,77,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 00:30:00,585,2025-06-10 01:00:00,0.18000000000000005,0.82,105,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 01:00:00,725,2025-06-10 01:30:00,0.18000000000000005,0.82,131,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 01:30:00,632,2025-06-10 02:00:00,0.18000000000000005,0.82,114,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 02:00:00,888,2025-06-10 02:30:00,0.18000000000000005,0.82,160,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 02:30:00,704,2025-06-10 03:00:00,0.18000000000000005,0.82,127,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 03:00:00,835,2025-06-10 03:30:00,0.18000000000000005,0.82,150,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 03:30:00,663,2025-06-10 04:00:00,0.18000000000000005,0.82,119,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 04:00:00,583,2025-06-10 04:30:00,0.18000000000000005,0.82,105,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 04:30:00,880,2025-06-10 05:00:00,0.18000000000000005,0.82,158,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 05:00:00,748,2025-06-10 05:30:00,0.18000000000000005,0.82,135,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 05:30:00,525,2025-06-10 06:00:00,0.18000000000000005,0.82,95,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 06:00:00,364,2025-06-10 06:30:00,0.2025,0.7975,74,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 06:30:00,326,2025-06-10 07:00:00,0.2025,0.7975,66,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 07:00:00,320,2025-06-10 07:30:00,0.2025,0.7975,65,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 07:30:00,327,2025-06-10 08:00:00,0.2025,0.7975,66,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 08:00:00,432,2025-06-10 08:30:00,0.2025,0.7975,87,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 08:30:00,333,2025-06-10 09:00:00,0.2025,0.7975,67,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 09:00:00,388,2025-06-10 09:30:00,0.2025,0.7975,79,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
2025-06-10 09:30:00,548,2025-06-10 10:00:00,0.2025,0.7975,111,250609_RFUP1,RFUP1,Upstream,Post-flood,unknown
